Law_Firm,Wins,Losses,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Cases,Win_Rate
mb law,2,0,0,1,1,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/2143.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/938.html']}",100.0
chipatiso associates,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1259.html']},0.0
freshfields brukhaus deringer llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1066.html']},0.0
john hodge solicitors,1,1,0,2,0,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/96.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1126.html']}",50.0
pitmans llp,1,1,0,1,1,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/180.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1187.html']}",50.0
legal. democratic,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1187.html']},100.0
"regulatory services, st albans city and district council",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1187.html']},100.0
city of york council,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1105.html']},0.0
national education union,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1105.html']},100.0
miles fanning legal,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1177.html']},100.0
northover limited,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1102.html']},0.0
cica legal services,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1175.html']},0.0
law practice solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1053.html']},0.0
hasbro legal department,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1221.html']},100.0
"community law partnership ltd., birmingham",0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1189.html']},0.0
general solicitor and counsel to hmrc,2,0,0,0,2,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1185.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2405.html']}",100.0
knights solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1182.html']},0.0
rw by his litigation friend official solicitor,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1067.html']},100.0
appleman legal,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1067.html']},0.0
morgan rose solicitors ltd,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1093.html']},0.0
w legal limited,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1115.html']},0.0
dwf solicitors,0,3,0,3,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/380.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/17.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1099.html']}",0.0
instructed by hugh james solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1099.html']},100.0
transport for london,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1213.html']},100.0
capital law llp,1,2,0,3,0,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/30.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/2191.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1103.html']}",33.33333333333333
metropolitan housing trust limited,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1125.html']},0.0
french & co,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1125.html']},100.0
kempner & partners llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1420.html']},0.0
hmrc's solicitor's office,2,0,0,0,2,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/332.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1438.html']}",100.0
swain & co,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1329.html']},0.0
hodge jones and allen llp,0,0,1,0,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1431.html']},
barlow robbins llp,0,0,1,0,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1431.html']},
fairweathers solicitors llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1307.html']},0.0
mellor hargreaves ltd,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1299.html']},0.0
taylor rose twkw limited,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1367.html']},100.0
clyde & co solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1371.html']},0.0
plexus law solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1371.html']},100.0
mtg solicitors,1,1,0,1,1,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/394.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1423.html']}",50.0
neves solicitors llp,0,2,0,2,0,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/180.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1436.html']}",0.0
sharpe prichard llp,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1436.html']},100.0
newlaw solicitors,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1376.html']},100.0
transport for london legal services,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1520.html']},100.0
tilbrook's,2,0,0,2,0,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/45.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1358.html']}",100.0
prosperity law,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1358.html']},0.0
coyle white devine,0,2,0,2,0,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/438.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1302.html']}",0.0
backhouse jones,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1302.html']},100.0
thompson & co solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1413.html']},0.0
best solicitors,1,2,0,3,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/30.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/283.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1453.html']}",33.33333333333333
major family law solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1453.html']},100.0
direct public access,1,3,0,4,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/563.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1182.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/23.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1320.html']}",25.0
cognitive law limited,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1320.html']},100.0
treasury solicitor for appellants hugh tomlinson qc,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2217.html']},100.0
sara mansoori (instructed by bindmans,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2217.html']},100.0
hillingdon law centre,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1864.html']},0.0
northumberland county council legal services,1,1,0,1,1,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/264.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1519.html']}",50.0
royds withy king,3,0,0,1,2,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/233.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1461.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1471.html']}",100.0
"myers, fletcher & gordon",0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1471.html']},0.0
philippa long,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1534.html']},0.0
enyo law,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1794.html']},0.0
els law ltd,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1619.html']},0.0
alberto perez cedillo,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1589.html']},0.0
carter lemon camerons llp,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1589.html']},100.0
joelson jd llp,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1793.html']},100.0
woodfords solicitors llp,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1525.html']},100.0
in-house solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1525.html']},0.0
dotcom solicitors ltd,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1610.html']},0.0
dallas & co,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1676.html']},0.0
byrne & partners,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1802.html']},0.0
"migrants' law project, islington law centre",1,1,0,2,0,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/368.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1812.html']}",50.0
ignition law,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1615.html']},0.0
"juliet spender, of irwin mitchell llp",0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1656.html']},0.0
"central legal team, legal aid agency",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1656.html']},100.0
martyn brown,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1629.html']},0.0
irving solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1629.html']},100.0
director of public prosecutions,0,0,1,0,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1719.html']},
eastleigh borough council,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1808.html']},100.0
affinity law,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1726.html']},100.0
carpmaels & ransford,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1586.html']},0.0
"leicester city council, legal services",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1551.html']},100.0
watson woodhouse solicitors,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1735.html']},100.0
rustem guardian llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1673.html']},0.0
bates wells braithwaite london llp,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1605.html']},0.0
bankfield heath solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1558.html']},0.0
jmp solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1514.html']},100.0
charles lyndon,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1514.html']},100.0
london borough of brent,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1595.html']},100.0
batchelors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1712.html']},0.0
gt stewart solicitors and advocates,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1712.html']},100.0
mcdaniel & co solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1635.html']},100.0
pm law limited,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1730.html']},0.0
guile nicholas,1,1,0,2,0,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1587.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1699.html']}",50.0
"directorate of legal services, metropolitan police",1,3,0,1,3,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/688.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/6.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1587.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1699.html']}",25.0
anthony collins solicitors,0,0,1,0,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1641.html']},
local government association,1,0,1,0,1,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1100.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1641.html']}",100.0
"morgan, lewis & bockius uk llp",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1536.html']},100.0
"milbank, tweed, hadley & mccloy llp",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1536.html']},100.0
european commission,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1536.html']},0.0
brent council,1,1,0,2,0,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1826.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2742.html']}",50.0
shelter legal team,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1826.html']},0.0
mayfair solicitors,0,2,0,2,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/744.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1669.html']}",0.0
benson ingram law llp,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1780.html']},100.0
rpc solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1780.html']},0.0
imran khan and partners,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1899.html']},0.0
tim johnson/law,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1879.html']},100.0
davis simmonds,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/3049.html']},0.0
"donaghey, high street, gillingham, me71be",0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/3049.html']},0.0
"invicta law ltd, union street, maidstone me14 1pt",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/3049.html']},100.0
"patrick lawrence solicitors, railway pl, gravesend da12 1ap",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/3049.html']},100.0
womble bond dickinson uk llp,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1883.html']},0.0
legal service of competition and markets authority,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1881.html']},0.0
russell-cooke solicitors,0,2,0,2,0,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1841.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2229.html']}",0.0
south west london law centre,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1846.html']},100.0
gosport borough council legal services dept,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1846.html']},0.0
ince & co llp,4,2,0,2,4,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/91.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/16.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/333.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/372.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2173.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1901.html']}",66.66666666666666
"wace morgan, shrewsbury",1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1842.html']},100.0
cps appeals and review unit,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2092.html']},100.0
staffordshire county council,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2042.html']},100.0
david foster & co. solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2042.html']},0.0
moseleys solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2042.html']},0.0
mcguinness legal,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2042.html']},0.0
cale solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2024.html']},0.0
equal justice solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1998.html']},0.0
medical defence union,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2027.html']},100.0
simmons muirhead & burton llp,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2005.html']},100.0
levi solicitors llp,2,0,0,1,1,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1041.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2031.html']}",100.0
ms maria grondona,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2031.html']},100.0
quinn emanuel urquhart & sullivan (uk) llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2026.html']},0.0
virtuoso legal llp,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2211.html']},100.0
birnberg peirce & partners,3,4,0,6,1,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/296.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/568.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/355.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/2112.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1665.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/142.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2234.html']}",42.857142857142854
yva solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2414.html']},0.0
greenwoods grm llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2348.html']},0.0
mill & reeve llp,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2235.html']},100.0
pitmans solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2253.html']},100.0
switalskis llp,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2342.html']},0.0
duval vassiliades solicitors,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2298.html']},100.0
south wales & gwent police joint legal services,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2107.html']},100.0
ehl commercial law,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2416.html']},100.0
charlesrussell speechlys,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2416.html']},0.0
amv law,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2212.html']},100.0
r j moseley llp solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2212.html']},0.0
ince & co,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2204.html']},100.0
colman coyle ltd,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2284.html']},100.0
monro wright & wasbrough llp,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2250.html']},100.0
radcliffes le brasseur solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2250.html']},0.0
sgh martineau llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2347.html']},0.0
richard max & co llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2268.html']},0.0
payne hicks beach,1,2,0,3,0,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1214.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/29.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2151.html']}",33.33333333333333
general counsel and solicitor to revenue,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2210.html']},0.0
bdo llp,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2210.html']},100.0
"morrisons solicitors llp, london road, redhill rh1 1lq",0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2408.html']},0.0
commissioners for her majesty's revenue,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2408.html']},100.0
"legal department, coventry city council",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2252.html']},100.0
kj conroy & co,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2167.html']},0.0
powell gilbert,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2344.html']},0.0
trowers & hamlin llp,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2403.html']},100.0
cps proceeds of crime,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2543.html']},100.0
key ip limited,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2679.html']},0.0
marks & clerk solicitors llp,0,4,0,2,2,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1214.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/57.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1185.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2444.html']}",0.0
rich & carr solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2605.html']},0.0
rradar solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2605.html']},100.0
oh parsons llp,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2427.html']},100.0
shakespeare martineau,1,2,0,3,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/887.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/2698.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2619.html']}",33.33333333333333
hanover bond law,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2591.html']},100.0
seth lovis & co solicitors,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2618.html']},100.0
flint bishop llp,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2494.html']},0.0
linder myers llp,2,0,0,0,2,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/18.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2461.html']}",100.0
green and olive solicitors,0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2685.html']},0.0
"w davies solicitors, woking",0,1,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2667.html']},0.0
ej winter & son llp,0,0,1,0,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2520.html']},
crimson phoenix solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2480.html']},0.0
tenet compliance & litigation ltd,2,0,0,1,1,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1201.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2480.html']}",100.0
hodge jones & allen solicitors ltd,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2742.html']},100.0
city of westminster council,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2742.html']},100.0
local authority legal,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2962.html']},0.0
bindmans - pro bono,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2962.html']},100.0
hughes paddison,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2803.html']},0.0
"fried, frank, harris, shriver & jacobson (london) llp",1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2802.html']},100.0
maucher jenkins,0,0,1,0,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2715.html']},
mps directorate of legal services,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2837.html']},100.0
campbell-taylor solicitors,0,2,0,2,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/79.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2852.html']}",0.0
lgss law,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2852.html']},100.0
solicitor for hm revenue & customs,1,2,0,1,2,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/82.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/114.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2798.html']}",33.33333333333333
arlington crown solicitors,1,0,0,0,1,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2695.html']},100.0
lennons solicitors,0,1,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2744.html']},0.0
hogan lovells solicitors,1,0,0,1,0,{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/3040.html']},100.0
